,Id,University_Name,Date_Established,State,Latitude,Longitude
0,UM,Universiti Malaya,1-1-1962,Kuala Lumpur,3.120101,101.654396
1,USM,Universiti Sains Malaysia ,1969,Penang,5.35587,100.296188
2,UKM,Universiti Kebangsaan Malaysia,18-5-1970,Selangor,2.93043,101.777328
3,UPM,Universiti Putra Malaysia,4-10-1971,Selangor,3.01072,101.720909
4,UTM,Universiti Teknologi Malaysia,1-4-1975,Johor,1.55958,103.637489
5,UiTM,Universiti Teknologi MARA,26-8-1999,Selangor,3.0676,101.4992
6,UIAM,Universiti Islam Antarabangsa Malaysia,10-5-1983,Selangor,3.2489,101.777328
7,UUM,Universiti Utara Malaysia,16-2-1984,Kedah,6.45751,100.505432
8,UNIMAS,Universiti Malaysia Sarawak,24-12-1992,Sarawak,1.464922,110.426855
9,UMS,Universiti Malaysia Sabah,24-11-1994,Sabah,6.04267,116.14756
10,UPSI,Universiti Pendidikan Sultan Idris,24-2-1997,Perak,3.685048,101.524094
11,USIM,Universiti Sains Islam Malaysia,13-3-1998,Negeri Sembilan,2.844204,101.78189
12,UMT,Universiti Malaysia Terengganu,15-7-1999,Terengganu,5.408712,103.088813
13,UTHM,Universiti Tun Hussein Onn Malaysia,30-9-2000,Johor,1.858626,103.085578
14,UTeM,Universiti Teknikal Malaysia Melaka,1-12-2000,Melaka,2.306,102.317871
15,UMP,Universiti Malaysia Pahang,16-2-2002,Pahang,3.543702,103.428906
16,UniMAP,Universiti Malaysia Perlis,2-5-2002,Perlis,6.41116,100.1356
17,UniSZA,Universiti Sultan Zainal Abidin,1-1-2006,Terengganu,5.395676,103.082795
18,UMK,Universiti Malaysia Kelantan,14-6-2006,Kelantan,6.164291,102.283956
19,UPNM,Universiti Pertahanan Nasional Malaysia,10-11-2006,Kuala Lumpur,3.050463,101.724833
